time,actionName,score,cost,distanceCost,totalCost,hunger,sleep,money,inventory0.00,Eat,0.74,0.20,0.00,0.20,49.00,51.00,10.00,0.00
3.17,Sleep,0.50,0.10,0.00,0.00,50.00,50.00,10.00,10.00
5.67,DropOffResource,1.00,0.30,0.00,0.00,51.00,49.00,10.00,100.00
8.32,Eat,0.76,0.20,0.00,0.00,51.00,49.00,10.00,100.00
8.48,DropOffResource,1.00,0.30,0.00,0.00,21.00,49.00,0.00,100.00
8.62,Work,1.00,0.40,0.00,0.00,21.00,49.00,20.00,0.00
12.26,Work,1.00,0.40,0.00,0.00,22.00,48.00,20.00,10.00
12.34,Work,1.00,0.40,0.00,0.00,22.00,48.00,20.00,30.00
12.45,Work,1.00,0.40,0.00,0.00,22.00,48.00,20.00,40.00
12.55,Work,1.00,0.40,0.00,0.00,22.00,48.00,20.00,70.00
12.61,Work,1.00,0.40,0.00,0.00,22.00,48.00,20.00,100.00
12.70,Sleep,0.53,0.10,0.00,0.00,22.00,48.00,20.00,100.00
14.19,Work,1.00,0.40,0.00,0.00,22.00,48.00,20.00,100.00
15.60,Eat,0.41,0.20,0.00,0.00,23.00,47.00,20.00,100.00
15.74,Work,1.00,0.40,0.00,0.00,0.00,47.00,10.00,100.00
18.91,Sleep,0.54,0.10,0.00,0.00,0.00,47.00,10.00,100.00
20.42,Work,1.00,0.40,0.00,0.00,1.00,46.00,10.00,100.00
21.83,Sleep,0.56,0.10,0.00,0.00,1.00,46.00,10.00,100.00
23.91,DropOffResource,1.00,0.30,0.00,0.00,1.00,46.00,10.00,100.00
26.73,Work,1.00,0.40,0.00,0.00,2.00,45.00,30.00,0.00
30.23,Work,1.00,0.40,0.00,0.00,2.00,45.00,30.00,20.00
30.30,DropOffResource,0.17,0.30,0.00,0.00,2.00,45.00,30.00,40.00
32.42,Work,1.00,0.40,0.00,0.00,3.00,44.00,30.00,100.00
33.02,DropOffResource,1.00,0.30,0.00,0.00,3.00,44.00,30.00,100.00
34.78,DropOffResource,1.00,0.30,0.00,0.00,3.00,44.00,30.00,100.00
34.90,Work,0.99,0.40,0.00,0.00,3.00,44.00,50.00,0.00
38.54,Work,0.99,0.40,0.00,0.00,4.00,43.00,50.00,20.00
38.62,Work,0.99,0.40,0.00,0.00,4.00,43.00,50.00,40.00
38.73,Work,0.99,0.40,0.00,0.00,4.00,43.00,50.00,50.00
38.81,Work,0.99,0.40,0.00,0.00,4.00,43.00,50.00,70.00
